col_hex_8,Morti,Feriti,hour-0-7,hour-8-15,hour-16-23,end_of_week,Contro ostacoli,Contro veicoli fermi,Da solo,Investimento,Scontro fra veicoli in movimento,Tamponamento,Altro tipo di strada,Curva,Incrocio,Intersezione,Rettilineo,Rotatoria,asciutto,bagnato,ghiacciato,viscido,Altra pavimentazione,Asfaltata,In cubetti di porfido,Strada pavimentata dissestata,auto,moto,bus,camion,lavoro,bici,elettrici,altro,Altro tempo,Nebbia,Nuvoloso,Pioggia,Sereno,Altra strada,Provinciale,Regionale,Statale,Urbana,Traffico Intenso,Traffico Normale,Traffico Scarso,y,media veicoli coinvolti,luce,centro abitato
881ea5500bfffff,0.0,17.0,0.10526315789473684,0.6842105263157895,0.21052631578947367,0.15789473684210525,0.0,0.0,0.05263157894736842,0.0,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.0,0.42105263157894735,0.10526315789473684,0.8421052631578947,0.10526315789473684,0.05263157894736842,0.0,0.0,1.0,0.0,0.0,1.4210526315789473,0.10526315789473684,0.0,0.3157894736842105,0.0,0.3157894736842105,0.0,0.0,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.6842105263157895,0.0,0.05263157894736842,0.47368421052631576,0.05263157894736842,0.42105263157894735,0.21052631578947367,0.631578947368421,0.15789473684210525,19,2.1578947368421053,0.7894736842105263,0.5263157894736842
881ea55013fffff,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.0,1.0,1.0
881ea55015fffff,0.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2.0,1.0,1.0
881ea5501bfffff,0.0,3.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.0,0.5,1.0
881ea5501dfffff,0.0,3.0,0.5,0.25,0.25,0.25,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,1.25,1.0,1.0
881ea55051fffff,0.0,5.0,0.0,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,1.0,0.0,0.0,1.7142857142857142,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.14285714285714285,7,2.142857142857143,0.7142857142857143,1.0
881ea55053fffff,0.0,27.0,0.11538461538461539,0.3076923076923077,0.5769230769230769,0.38461538461538464,0.0,0.15384615384615385,0.19230769230769232,0.038461538461538464,0.5,0.11538461538461539,0.0,0.07692307692307693,0.11538461538461539,0.0,0.8076923076923077,0.0,0.8846153846153846,0.11538461538461539,0.0,0.0,0.0,1.0,0.0,0.0,1.5769230769230769,0.19230769230769232,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.9230769230769231,0.0,0.038461538461538464,0.0,0.0,0.9615384615384616,0.038461538461538464,0.5384615384615384,0.4230769230769231,26,1.9230769230769231,0.6538461538461539,1.0
881ea55055fffff,0.0,6.0,0.2,0.5,0.3,0.2,0.2,0.0,0.2,0.0,0.5,0.1,0.0,0.0,0.4,0.0,0.6,0.0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1.1,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.1,0.6,0.0,0.0,0.0,0.0,1.0,0.1,0.6,0.3,10,1.8,0.7,1.0
881ea55057fffff,1.0,44.0,0.07894736842105263,0.5,0.42105263157894735,0.39473684210526316,0.02631578947368421,0.02631578947368421,0.2631578947368421,0.07894736842105263,0.47368421052631576,0.13157894736842105,0.0,0.42105263157894735,0.21052631578947367,0.02631578947368421,0.34210526315789475,0.0,0.631578947368421,0.34210526315789475,0.0,0.02631578947368421,0.0,1.0,0.0,0.0,1.3157894736842106,0.21052631578947367,0.02631578947368421,0.10526315789473684,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.23684210526315788,0.21052631578947367,0.5526315789473685,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,0.5789473684210527,0.39473684210526316,38,1.8157894736842104,0.7368421052631579,1.0
881ea5505bfffff,0.0,47.0,0.09302325581395349,0.5116279069767442,0.3953488372093023,0.11627906976744186,0.023255813953488372,0.0,0.09302325581395349,0.046511627906976744,0.4883720930232558,0.3488372093023256,0.0,0.06976744186046512,0.3953488372093023,0.0,0.5348837209302325,0.0,0.8837209302325582,0.11627906976744186,0.0,0.0,0.0,1.0,0.0,0.0,1.5348837209302326,0.18604651162790697,0.06976744186046512,0.37209302325581395,0.0,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0.13953488372093023,0.046511627906976744,0.7674418604651163,0.0,0.0,0.023255813953488372,0.5581395348837209,0.4186046511627907,0.20930232558139536,0.6744186046511628,0.11627906976744186,43,2.186046511627907,0.9069767441860465,0.9534883720930233
