col_hex_8,Morti,Feriti,hour-0-7,hour-8-15,hour-16-23,end_of_week,Contro ostacoli,Contro veicoli fermi,Da solo,Investimento,Scontro fra veicoli in movimento,Tamponamento,Altro tipo di strada,Curva,Incrocio,Intersezione,Rettilineo,Rotatoria,asciutto,bagnato,ghiacciato,viscido,Altra pavimentazione,Asfaltata,In cubetti di porfido,Strada pavimentata dissestata,auto,moto,bus,camion,lavoro,bici,elettrici,altro,Altro tempo,Nebbia,Nuvoloso,Pioggia,Sereno,Altra strada,Provinciale,Regionale,Statale,Urbana,Traffico Intenso,Traffico Normale,Traffico Scarso,y,media veicoli coinvolti,luce,centro abitato
881ea5505bfffff,0.0,60.0,0.07272727272727272,0.5454545454545454,0.38181818181818183,5,0.01818181818181818,0.01818181818181818,0.10909090909090909,0.05454545454545454,0.4909090909090909,0.3090909090909091,0.0,0.05454545454545454,0.36363636363636365,0.0,0.5818181818181818,0.0,0.8727272727272727,0.12727272727272726,0.0,0.0,0.0,1.0,0.0,0.0,1.5272727272727273,0.18181818181818182,0.05454545454545454,0.34545454545454546,0.0,0.01818181818181818,0.0,0.0,0.0,0.03636363636363636,0.16363636363636364,0.03636363636363636,0.7636363636363637,0.0,0.0,0.01818181818181818,0.43636363636363634,0.5454545454545454,0.21818181818181817,0.6727272727272727,0.10909090909090909,55,2.1272727272727274,0.8909090909090909,0.9636363636363636
881ea550cdfffff,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2.0,1.0,1.0
881ea550d9fffff,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0
881ea550dbfffff,1.0,19.0,0.0,0.6470588235294118,0.35294117647058826,4,0.058823529411764705,0.0,0.0,0.11764705882352941,0.4117647058823529,0.4117647058823529,0.0,0.17647058823529413,0.35294117647058826,0.058823529411764705,0.4117647058823529,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.588235294117647,0.23529411764705882,0.0,0.23529411764705882,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,1.0,0.0,0.8823529411764706,0.11764705882352941,17,2.176470588235294,0.8823529411764706,1.0
881ea55213fffff,0.0,7.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,2,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.2222222222222223,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.6666666666666666,0.3333333333333333,9,1.8888888888888888,0.7777777777777778,0.8888888888888888
881ea55281fffff,5.0,522.0,0.08288288288288288,0.5765765765765766,0.34054054054054056,126,0.021621621621621623,0.014414414414414415,0.07567567567567568,0.11891891891891893,0.5531531531531532,0.21621621621621623,0.0018018018018018018,0.036036036036036036,0.42882882882882883,0.06666666666666667,0.3945945945945946,0.07207207207207207,0.8198198198198198,0.17477477477477477,0.0018018018018018018,0.0036036036036036037,0.0018018018018018018,0.9981981981981982,0.0,0.0,1.2540540540540541,0.22702702702702704,0.02882882882882883,0.0990990990990991,0.0018018018018018018,0.26306306306306304,0.005405405405405406,0.0036036036036036037,0.0,0.0036036036036036037,0.10990990990990991,0.11891891891891893,0.7675675675675676,2.0,0.09549549549549549,0.0018018018018018018,0.0,0.8990990990990991,0.2072072072072072,0.6342342342342342,0.15855855855855855,555,1.8972972972972968,0.7981981981981981,0.9927927927927928
881ea55283fffff,2.0,442.0,0.07014028056112225,0.5591182364729459,0.37074148296593185,109,0.04609218436873747,0.07615230460921844,0.06012024048096192,0.16032064128256512,0.4789579158316633,0.17835671342685372,0.004008016032064128,0.02004008016032064,0.43687374749499,0.018036072144288578,0.5170340681362725,0.004008016032064128,0.8637274549098196,0.13226452905811623,0.004008016032064128,0.0,0.008016032064128256,0.7194388777555111,0.2725450901803607,0.0,1.2304609218436873,0.16032064128256512,0.036072144288577156,0.1062124248496994,0.004008016032064128,0.32064128256513025,0.002004008016032064,0.012024048096192385,0.006012024048096192,0.004008016032064128,0.1462925851703407,0.07615230460921844,0.7675350701402806,1.0,0.0,0.0,0.0,0.9979959919839679,0.17835671342685372,0.5350701402805611,0.2865731462925852,499,1.8797595190380765,0.7995991983967936,0.9979959919839679
881ea55285fffff,2.0,118.0,0.08609271523178808,0.5298013245033113,0.3841059602649007,35,0.006622516556291391,0.033112582781456956,0.08609271523178808,0.013245033112582781,0.6026490066225165,0.2582781456953642,0.09933774834437085,0.046357615894039736,0.4768211920529801,0.006622516556291391,0.36423841059602646,0.006622516556291391,0.8609271523178808,0.12582781456953643,0.013245033112582781,0.0,0.006622516556291391,0.9933774834437086,0.0,0.0,1.5894039735099337,0.19205298013245034,0.0,0.17218543046357615,0.0,0.11920529801324503,0.006622516556291391,0.0,0.019867549668874173,0.006622516556291391,0.12582781456953643,0.0728476821192053,0.7748344370860927,0.0,0.033112582781456956,0.019867549668874173,0.2913907284768212,0.6556291390728477,0.271523178807947,0.5496688741721855,0.17880794701986755,151,2.0860927152317883,0.8410596026490066,0.9867549668874173
881ea55287fffff,2.0,316.0,0.062146892655367235,0.596045197740113,0.3418079096045198,75,0.025423728813559324,0.011299435028248588,0.0903954802259887,0.03389830508474576,0.751412429378531,0.08757062146892655,0.005649717514124294,0.03389830508474576,0.6977401129943502,0.00847457627118644,0.20903954802259886,0.04519774011299435,0.8615819209039548,0.13559322033898305,0.002824858757062147,0.0,0.002824858757062147,0.9971751412429378,0.0,0.0,1.2881355932203389,0.1638418079096045,0.02824858757062147,0.11016949152542373,0.0,0.288135593220339,0.002824858757062147,0.002824858757062147,0.005649717514124294,0.0,0.14124293785310735,0.09322033898305085,0.7598870056497176,2.0,0.0,0.0,0.002824858757062147,0.9915254237288136,0.06497175141242938,0.6214689265536724,0.3135593220338983,354,1.9011299435028248,0.8361581920903954,0.9943502824858758
881ea55289fffff,0.0,156.0,0.08571428571428572,0.6,0.3142857142857143,34,0.03428571428571429,0.02857142857142857,0.10857142857142857,0.02857142857142857,0.7314285714285714,0.06857142857142857,0.0,0.04,0.44571428571428573,0.12,0.3485714285714286,0.045714285714285714,0.8114285714285714,0.17142857142857143,0.011428571428571429,0.005714285714285714,0.0,1.0,0.0,0.0,1.3142857142857143,0.26285714285714284,0.011428571428571429,0.09714285714285714,0.0,0.22857142857142856,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.12571428571428572,0.10285714285714286,0.76,1.0,0.022857142857142857,0.0,0.0,0.9714285714285714,0.03428571428571429,0.6057142857142858,0.36,175,1.92,0.8114285714285714,0.9885714285714285
881ea5528bfffff,2.0,346.0,0.07042253521126761,0.523943661971831,0.4056338028169014,69,0.005633802816901409,0.028169014084507043,0.04507042253521127,0.08450704225352113,0.723943661971831,0.11267605633802817,0.0,0.028169014084507043,0.4253521126760563,0.10422535211267606,0.4422535211267606,0.0,0.8704225352112676,0.1267605633802817,0.0028169014084507044,0.0,0.0,1.0,0.0,0.0,1.2985915492957747,0.2507042253521127,0.0028169014084507044,0.10140845070422536,0.008450704225352112,0.3183098591549296,0.0028169014084507044,0.0,0.005633802816901409,0.0,0.1267605633802817,0.07605633802816901,0.7915492957746478,2.0,0.18873239436619718,0.0,0.0028169014084507044,0.8028169014084507,0.2591549295774648,0.5690140845070423,0.17183098591549295,355,2.0028169014084507,0.8028169014084507,0.9802816901408451
